#vx_mps,vy_mps,dpsi_radps,ax_mps2,ay_mps2,deltawheel_rad,TwheelRL_Nm,TwheelRR_Nm,pBrakeF_bar,pBrakeR_bar
3.05799065143575,0.00327991305153299,0.00216523348353803,3.83378434181213,0.0505020022392273,0.00645771808922291,981.25,981.25,0,0
3.08907395864363,0.00288894163570872,0.000760310736950487,3.74718570709229,0.0204067714512348,0.00645771808922291,1012.5,1025,0,0
3.12053505265988,0.00259927950276221,-0.00049526320071891,3.74747657775879,0.00401505129411817,0.00645771808922291,1012.5,1025,0,0
3.15130532358143,0.00213415115390678,-0.00214788923040032,3.70182394981384,-0.00941889360547066,0.00645771808922291,1000,1025,0,0
3.18262232747143,0.00169601397763632,-0.00314216036349535,3.71888971328735,-0.0141468038782477,0.00558505346998572,956.25,968.75,0,0
3.21368460792383,0.00200096741562176,-0.00352237117476761,3.72407078742981,0.0354370288550854,0.00558505346998572,950,1025,0,0
3.24598096963205,0.00242980818915495,-0.0038222623988986,3.81082606315613,0.0636918395757675,0.00488692196086049,1012.5,1000,0,0
3.2784085943398,0.00405564994607832,-0.00410611694678664,3.84385681152344,0.156303927302361,0.00331612559966743,1012.5,1000,0,0
3.31218313609758,0.00471028725812889,0.000494249863550067,3.95184707641602,0.146456032991409,0.00244346098043025,1000,975,0,0
3.34504262044336,0.00436155069270137,0.0016568178543821,3.91740322113037,0.0694906488060951,0.00174532923847437,937.5,993.75,0,0
3.37720426859411,0.00323937043328941,0.00267350533977151,3.87538838386536,-0.0213363114744425,0.00174532923847437,1018.75,1012.5,0,0
3.40967193843466,0.00125279614961277,0.00257265008985996,3.86837339401245,-0.110736183822155,0.00174532923847437,981.25,993.75,0,0
3.44075261932935,-0.000994763384445818,0.000241623449255712,3.7749125957489,-0.184289813041687,0.00174532923847437,981.25,993.75,0,0
3.47224600035307,-0.00413322954386551,-0.00450933258980513,3.74446296691895,-0.26972097158432,0.00174532923847437,937.5,943.75,0,0
3.5035740674203,-0.00632554346009766,-0.00519296759739518,3.72016382217407,-0.241464763879776,0.00244346098043025,993.75,1037.5,0,0
3.53598669742985,-0.00918123021252292,-0.00690777087584138,3.78638935089111,-0.283263713121414,0.00174532923847437,1037.5,962.5,0,0
3.56930780201407,-0.0113718047116911,-0.00753150042146444,3.87818717956543,-0.245952978730202,0.00174532923847437,968.75,1056.25,0,0
3.60299741849788,-0.0124618096746429,-0.00983460899442434,3.94358968734741,-0.178420528769493,0.00244346098043025,968.75,1056.25,0,0
3.63766912307866,-0.0149443057823492,-0.00881058536469936,4.04012870788574,-0.241252601146698,0.00174532923847437,968.75,968.75,0,0
3.67259368882149,-0.0166847878688695,-0.0048926780000329,4.09223747253418,-0.200956299901009,0.00244346098043025,1025,1000,0,0
3.70778852144656,-0.0169443925458451,-0.00540912197902799,4.15025901794434,-0.0975161865353584,0.00331612559966743,1043.75,1043.75,0,0
3.74298819128851,-0.017689218389921,-0.00490507204085588,4.17304515838623,-0.0736220628023148,0.00401425734162331,981.25,1025,0,0
3.77710340950277,-0.0168784698050703,-0.00528881698846817,4.10962629318237,0.0549828894436359,0.00488692196086049,981.25,1025,0,0
3.8112012352877,-0.0143891851533734,-0.00501431850716472,4.06866025924683,0.223760440945625,0.00488692196086049,1075,1056.25,0,0
3.84577729325478,-0.01110424922772,-0.00368504971265793,4.06861114501953,0.350673019886017,0.00558505346998572,987.5,1043.75,0,0
3.88021188161916,-0.00729189555657595,-0.00298281665891409,4.07366132736206,0.434876322746277,0.00558505346998572,987.5,1037.5,0,0
3.91522080087227,-0.00396704578854214,0.000167905585840344,4.11720991134644,0.435734540224075,0.00558505346998572,981.25,1062.5,0,0
3.95037569020456,-0.000672110314661051,0.000393667665775865,4.15152311325073,0.438038200139999,0.00645771808922291,981.25,1062.5,0,0
3.98482941272147,0.00139734632794699,0.00440694577991962,4.12053108215332,0.355667173862457,0.00645771808922291,987.5,987.5,0,0
4.01911999600423,0.00175751212813287,0.00688552763313055,4.10213994979858,0.219739243388176,0.00645771808922291,1000,1081.25,0,0
4.05302033199713,0.000721302585810945,0.00617706123739481,4.06931209564209,0.0605109184980392,0.00558505346998572,1025,981.25,0,0
4.08622452125689,-0.00119094576430484,0.00587343610823154,4.00034856796265,-0.0721587166190147,0.00558505346998572,1062.5,1056.25,0,0
4.11852794364403,-0.00467527371972069,0.00914064608514309,3.89733862876892,-0.239344388246536,0.00558505346998572,1062.5,1056.25,0,0
4.15071448537589,-0.00697361437483973,0.00756273604929447,3.83878517150879,-0.23377637565136,0.00488692196086049,1068.75,1068.75,0,0
4.1832904159114,-0.00877142405438265,0.00302876462228596,3.8383264541626,-0.23010516166687,0.00488692196086049,1031.25,1018.75,0,0
4.21649472548521,-0.00930004827354971,0.0038145047146827,3.88236546516418,-0.10456233471632,0.00331612559966743,993.75,1018.75,0,0
4.25081586897885,-0.00892271362281735,0.00124888389836997,3.99180746078491,-0.028720436617732,0.00244346098043025,1043.75,1075,0,0
4.28563356259718,-0.00795655797239306,-0.00224267900921404,4.07200527191162,0.0433839596807957,0.00174532923847437,1043.75,1075,0,0
4.32017846454524,-0.00591353739060228,-0.00357502279803157,4.09835815429688,0.138574287295341,0.00174532923847437,1087.5,1031.25,0,0
4.35507109155882,-0.0048991743600696,-0.000271643948508427,4.13476848602295,0.121924199163914,0.00244346098043025,1025,1050,0,0
4.38903289618909,-0.0023349493015589,-0.00461104093119502,4.09528207778931,0.196986868977547,0.00174532923847437,981.25,1081.25,0,0
